Date,Name,Year,Letterboxd URI,Rating,Rewatch,Tags,Watched Date
2018-07-17,Daughters of Darkness,1971,https://letterboxd.com/malantonio/film/daughters-of-darkness/,4,,"streaming, shudder, the last drive-in",2018-07-16
2018-07-19,Robin Williams: Come Inside My Mind,2018,https://letterboxd.com/malantonio/film/robin-williams-come-inside-my-mind/,3,,"streaming, hbo",2018-07-18
2018-07-20,Hype!,1996,https://letterboxd.com/malantonio/film/hype/,3,Yes,"streaming, filmstruck",2018-07-19
2018-07-22,Downrange,2017,https://letterboxd.com/malantonio/film/downrange/,2.5,,,2018-07-21
2018-07-22,Sleepaway Camp,1983,https://letterboxd.com/malantonio/film/sleepaway-camp/2/,3.5,Yes,"streaming, shudder, the last drive-in",2018-07-21
2018-07-22,mother!,2017,https://letterboxd.com/malantonio/film/mother-2017/,3,,download,2018-07-21
2018-07-23,Blow Up My Town,1968,https://letterboxd.com/malantonio/film/blow-up-my-town/,3.5,,"streaming, filmstruck",2018-07-22
2018-07-23,Won't You Be My Neighbor?,2018,https://letterboxd.com/malantonio/film/wont-you-be-my-neighbor/,5,,"theater, digital",2018-07-22
2018-07-27,Burnt Offerings,1976,https://letterboxd.com/malantonio/film/burnt-offerings/,3,,"streaming, amazon prime",2018-07-26
2018-07-28,I Bury the Living,1958,https://letterboxd.com/malantonio/film/i-bury-the-living/,3.5,,"35mm, drive-in",2018-07-27
2018-07-28,Carnival of Souls,1962,https://letterboxd.com/malantonio/film/carnival-of-souls/1/,3.5,Yes,"35mm, drive-in",2018-07-27
2018-07-29,Dementia 13,1963,https://letterboxd.com/malantonio/film/dementia-13/,3.5,,"35mm, drive-in",2018-07-28
2018-07-29,The Slime People,1963,https://letterboxd.com/malantonio/film/the-slime-people/,2,,"35mm, drive-in",2018-07-28
2018-07-30,The Descent,2005,https://letterboxd.com/malantonio/film/the-descent/,3,,"streaming, shudder",2018-07-29
2018-07-30,"As Above, So Below",2014,https://letterboxd.com/malantonio/film/as-above-so-below-2014/1/,2.5,Yes,"streaming, hbo",2018-07-29
2018-07-30,What We Do in the Shadows,2014,https://letterboxd.com/malantonio/film/what-we-do-in-the-shadows/1/,4.5,Yes,"streaming, amazon prime",2018-07-29
2018-08-01,Quiet Zone,2015,https://letterboxd.com/malantonio/film/quiet-zone/,4.5,,"streaming, national film board of canada",2018-07-31
2018-08-02,Pieces,1982,https://letterboxd.com/malantonio/film/pieces/1/,3,Yes,"streaming, shudder, the last drive-in",2018-08-01
2018-08-05,Before Sunrise,1995,https://letterboxd.com/malantonio/film/before-sunrise/,3.5,,"streaming, filmstruck",2018-08-04
2018-08-06,Three Identical Strangers,2018,https://letterboxd.com/malantonio/film/three-identical-strangers/,3,,"theater, digital",2018-08-05
