Date,Name,Year,Letterboxd URI,Rating
2016-08-27,Friday the 13th: A New Beginning,1985,https://letterboxd.com/film/friday-the-13th-a-new-beginning/,3
2016-08-28,Friday the 13th Part VII: The New Blood,1988,https://letterboxd.com/film/friday-the-13th-part-vii-the-new-blood/,3
2016-08-28,Just Before Dawn,1981,https://letterboxd.com/film/just-before-dawn-1981/,3.5
2016-08-28,The Burning,1981,https://letterboxd.com/film/the-burning-1981/,3
2016-09-03,Milk Money,1994,https://letterboxd.com/film/milk-money/,4
2016-09-04,Pieces,1982,https://letterboxd.com/film/pieces/,3
2016-09-04,Cemetery Man,1994,https://letterboxd.com/film/cemetery-man/,3.5
2016-09-04,What Have You Done to Solange?,1972,https://letterboxd.com/film/what-have-you-done-to-solange/,3
2016-09-04,Zombie Flesh Eaters,1979,https://letterboxd.com/film/zombie-flesh-eaters/,3.5
2016-09-06,Alien³,1992,https://letterboxd.com/film/alien-3/,3.5
2016-09-10,Wayne's World,1992,https://letterboxd.com/film/waynes-world/,4
2016-09-10,Wayne's World 2,1993,https://letterboxd.com/film/waynes-world-2/,2.5
2016-09-17,The Blair Witch Project,1999,https://letterboxd.com/film/the-blair-witch-project/,4.5
2016-09-18,Blair Witch,2016,https://letterboxd.com/film/blair-witch/,3
2016-09-19,Creepshow,1982,https://letterboxd.com/film/creepshow/,3.5
2016-09-24,Raiders!: The Story of the Greatest Fan Film Ever Made,2015,https://letterboxd.com/film/raiders-the-story-of-the-greatest-fan-film-ever-made/,3.5
2016-09-24,Raiders of the Lost Ark: The Adaptation,1989,https://letterboxd.com/film/raiders-of-the-lost-ark-the-adaptation/,3.5
2016-10-01,Day of the Woman,1978,https://letterboxd.com/film/day-of-the-woman/,3
2016-10-01,Death Weekend,1976,https://letterboxd.com/film/death-weekend/,2.5
2016-10-02,The Texas Chain Saw Massacre,1974,https://letterboxd.com/film/the-texas-chain-saw-massacre/,5
2016-10-02,The Blood Spattered Bride,1972,https://letterboxd.com/film/the-blood-spattered-bride/,2
2016-10-03,The Number 23,2007,https://letterboxd.com/film/the-number-23/,3
2016-10-08,The Fly,1986,https://letterboxd.com/film/the-fly-1986/,4
2016-10-08,Cat's Eye,1985,https://letterboxd.com/film/cats-eye/,3
2016-10-10,Grey Gardens,1975,https://letterboxd.com/film/grey-gardens/,4.5
2016-10-19,The Fly,1958,https://letterboxd.com/film/the-fly/,3
2016-10-20,13th,2016,https://letterboxd.com/film/13th/,4
2016-10-30,The Shining,1980,https://letterboxd.com/film/the-shining/,5
2016-10-31,Critters,1986,https://letterboxd.com/film/critters/,3
2016-11-01,Leprechaun,1993,https://letterboxd.com/film/leprechaun/,2.5
