Date,Name,Year,Letterboxd URI,Rating,Rewatch,Review,Tags,Watched Date
2018-07-08,Hack-O-Lantern,1988,https://letterboxd.com/malantonio/film/hack-o-lantern/,3,,there's a lot about this that's incomprehensible but that doesn't stop it from being trashy fun. the out-of-the-blue music video rules. ,"vhs, drive-in",2018-07-07
2018-07-09,The Slumber Party Massacre,1982,https://letterboxd.com/malantonio/film/the-slumber-party-massacre/,3,,"apparently this was written as a parody but shot straight, which both makes sense and helped get me through some of the laggy bits. ",download,2018-07-08
2018-07-10,The Fourth Kind,2009,https://letterboxd.com/malantonio/film/the-fourth-kind/,3,Yes,"i think i liked this more than i did whenever it was that i first saw it. it's a real disappointment that the entire thing is made up, but on that note, the woman who plays the ""real"" abigail tyler (charlotte milchard) is great and i wish she had a larger resume. 

i do wish the cross-cutting between the ""re-enactments"" and ""archival footage"" was done in a more straight-forward way. osunsanmi plays out some scenes in a distracting split-screen (sometimes 4 panel) way that's remniscient of de palma but is wholy inappropriate for the film it's trying to be. ","streaming, amazon prime",2018-07-09
2018-07-10,Burroughs: The Movie,1983,https://letterboxd.com/malantonio/film/burroughs-the-movie/,3,,burroughs was a lot sweeter than i had imagined. a nice peek into the life of an infamous dude.,"streaming, filmstruck",2018-07-09
2018-07-12,Choke,2001,https://letterboxd.com/malantonio/film/choke-2001/,2,,"yowza. trying to explain the twists in this movie made me appreciate it a whole lot more than actually watching it. i'll say this, it looks like dennis hopper and michael madsen had a lot of fun shooting this. at least, i hope they did. 

i think a good 60% of this is dennis hopper looking around a room processing information while his internal monologue spells it out for the audience. it's bonkers. so much of this is superfluous: the flash-forwards, the flashbacks, the peeping Tom eavesdropper, the stoner hitchhikers. 

maybe watch this as a triple feature with SPEED and RESERVOIR DOGS and order a pizza and have a good time. ",dvd,2018-07-11
2018-07-15,Tourist Trap,1979,https://letterboxd.com/malantonio/film/tourist-trap/,3.5,,this was such a weird/wild trip and i had fun the whole way through. the first kill segment is one of my favorites.,"streaming, the last drive-in, shudder",2018-07-14
2018-07-16,Sorry to Bother You,2018,https://letterboxd.com/malantonio/film/sorry-to-bother-you/,4,,"i'm having trouble putting words to my feelings. i adored the script and i'm so glad that everything was kept. it's super well put together and if i had a complaint it's a little uneven in its editing (i think the film works better when things are allowed to linger a bit).

liam put it perfectly: ""Is it an angry joke or is it a story so upsetting you HAVE to laugh?""","digital, theater",2018-07-15
2018-07-17,Daughters of Darkness,1971,https://letterboxd.com/malantonio/film/daughters-of-darkness/,4,,i loved this one. it's weird and slow and disjointed and i have a lot of questions but it got its hooks into me and i was all-in for the journey.,"streaming, shudder, the last drive-in",2018-07-16
2018-07-19,Robin Williams: Come Inside My Mind,2018,https://letterboxd.com/malantonio/film/robin-williams-come-inside-my-mind/,3,,"a very nice doc but felt incomplete. almost the entirety of the 90s is skipped over, which may have been noticeable only because that's the period of time that's most familiar to me. but some very good/nice interviews and variety of footage.","streaming, hbo",2018-07-18
2018-07-20,Hype!,1996,https://letterboxd.com/malantonio/film/hype/,3,Yes,this does a great job at making the seattle scene seem like a ton of fun. got me nostalgic for being in a band. ,"streaming, filmstruck",2018-07-19
2018-07-22,Downrange,2017,https://letterboxd.com/malantonio/film/downrange/,2.5,,"an interesting concept that is stretched thin by maybe 20 minutes. the film works best when the sense of danger is unrelenting, which it loses a bit in the middle. some fantastic make-up in this, and it's one bit stunt setpiece was suprisingly thrilling. i could have done without the superfluous shots of the shooter and an unneccessarily cruel twist ending.",,2018-07-21
2018-07-22,Sleepaway Camp,1983,https://letterboxd.com/malantonio/film/sleepaway-camp/2/,3.5,Yes,it's always a treat to watch this. this might be the first time that all the pieces really came together for me. ,"streaming, shudder, the last drive-in",2018-07-21
2018-07-22,mother!,2017,https://letterboxd.com/malantonio/film/mother-2017/,3,,i'm glad someone finally made a movie about how i feel at parties,download,2018-07-21
2018-07-23,Won't You Be My Neighbor?,2018,https://letterboxd.com/malantonio/film/wont-you-be-my-neighbor/,5,,"based solely on how much i cried during the trailer, i (correctly) figured i'd be a wreck during this. but what was unexpected was how hopeful i felt leaving the theater. it's a beautiful and necessary piece of cinema. ","theater, digital",2018-07-22
2018-07-27,Burnt Offerings,1976,https://letterboxd.com/malantonio/film/burnt-offerings/,3,,a 70s slow-burn that's got a weird air and lots of soft focus / vaseline'd lenses. the acting's kinda all over the board; not sure how i feel about oliver reed. i'm starting to get a taste for haunted house movies. ,"streaming, amazon prime",2018-07-26
2018-07-28,I Bury the Living,1958,https://letterboxd.com/malantonio/film/i-bury-the-living/,3.5,,shave 20 minutes off and this is a perfect hour-long episode of the twilight zone. the thesis of the movie is good enough to make up for the extended pin-pushing sequences. it's almost my ideal 50s b-movie.,"35mm, drive-in",2018-07-27
2018-07-28,Carnival of Souls,1962,https://letterboxd.com/malantonio/film/carnival-of-souls/1/,3.5,Yes,"a thick fog rolled in for about a solid third of the film, which was appropriate but also made most of what happened incomprehensible. i love a movie with a bare premise that pads out the runtime with atmosphere. ","35mm, drive-in",2018-07-27
2018-07-29,Backwoods Marcy,1999,https://letterboxd.com/malantonio/film/film:461606/,1.5,,"this isn't a good film. like at all. yet it's fascinating as a kind-of feminist take on films like I SPIT ON YOUR GRAVE. well, the front half of movie is like that. dude's lost driving in the backwoods (for, no joke, the first third of the film). encounters the titular character, gets held captive + raped, then escapes. is this video art? i'd love to hear the writer talk about her intentions.

also, there's some awful late-90s edm that's incessantly throughout. again, this isnt a good film. ","vhs, drive-in",2018-07-07
2018-07-29,Dementia 13,1963,https://letterboxd.com/malantonio/film/dementia-13/,3.5,,is this a proto-giallo? super watchable and fun and only lags a bit towards the end. the first 20 mins are solid. ,"35mm, drive-in",2018-07-28
2018-07-29,The Slime People,1963,https://letterboxd.com/malantonio/film/the-slime-people/,2,,about 2/3rds of this is shrouded in fog,"35mm, drive-in",2018-07-28
2018-07-30,The Descent,2005,https://letterboxd.com/malantonio/film/the-descent/,3,,i was all in until the monsters showed up.,"streaming, shudder",2018-07-29
2018-07-30,"As Above, So Below",2014,https://letterboxd.com/malantonio/film/as-above-so-below-2014/1/,2.5,Yes,"would it be better if there weren't any good parts? if this was just dumb out of the gate and stayed that way? there are some tantalizingly good moments in here that are forced to exist along ""here's another well. guess we'll keep going down!""","streaming, hbo",2018-07-29
2018-07-30,What We Do in the Shadows,2014,https://letterboxd.com/malantonio/film/what-we-do-in-the-shadows/1/,4.5,Yes,the performances are top notch and the effects are surprisingly effective for what i would assume is a lower budget film. ,"streaming, amazon prime",2018-07-29
2018-08-01,Quiet Zone,2015,https://letterboxd.com/malantonio/film/quiet-zone/,4.5,,achingly sad interviews with women who suffer from electrical sensitivity played to decayed/warped film á la bill morrison. really beautifully made.,"streaming, national film board of canada",2018-07-31
2018-08-02,Pieces,1982,https://letterboxd.com/malantonio/film/pieces/1/,3,Yes,"it's just as bonkers as i remembered. the gore is well done, but you spend a lot of the down-time trying to figure out what's happening, which some details/scenes don't make easy. it's a good second movie with a group, after a few drinks and maybe a legitimately good opener. ","streaming, shudder, the last drive-in",2018-08-01
2018-08-05,Before Sunrise,1995,https://letterboxd.com/malantonio/film/before-sunrise/,3.5,,i bet ethan hawke's character has some strong opinions on tipping.,"streaming, filmstruck",2018-08-04
2018-08-06,Three Identical Strangers,2018,https://letterboxd.com/malantonio/film/three-identical-strangers/,3,,"the pacing is great, but the open ending (not the fault of the film) can't help but feel incomplete. a wild trip.","theater, digital",2018-08-05
2018-08-09,Possession,1981,https://letterboxd.com/malantonio/film/possession/,4.5,,"a frenzied fever dream of a movie. i was dizzy trying to figure out what was happening but adored every minute of it. so many of the dialogue scenes are yelled in echo-y rooms with thick european accents, so i understood maybe a third of what was said, which just added to the fogginess. absolutely unlike anything i've ever seen before.","blu-ray, theater",2018-08-08
