Date,Name,Year,Letterboxd URI
2017-10-14,Nightmare,1981,https://letterboxd.com/film/nightmare-1981/
2017-10-15,Necronomicon,1993,https://letterboxd.com/film/necronomicon/
2017-10-15,Day of the Outlaw,1959,https://letterboxd.com/film/day-of-the-outlaw/
2017-10-17,Get My Gun,2017,https://letterboxd.com/film/get-my-gun/
2017-10-17,Veronica,2017,https://letterboxd.com/film/veronica-2017-1/
2017-10-17,Cold Hell,2017,https://letterboxd.com/film/cold-hell-2017/
2017-10-17,The Forest of the Lost Souls,2017,https://letterboxd.com/film/the-forest-of-the-lost-souls/
2017-10-17,México Bárbaro II,2017,https://letterboxd.com/film/mexico-barbaro-ii/
2017-10-17,976-EVIL,1988,https://letterboxd.com/film/976-evil/
2017-10-17,Rabbit Hole,2010,https://letterboxd.com/film/rabbit-hole/
2017-10-24,Insidious: The Last Key,2018,https://letterboxd.com/film/insidious-the-last-key/
2017-10-24,Insidious: Chapter 3,2015,https://letterboxd.com/film/insidious-chapter-3/
2017-10-24,Insidious: Chapter 2,2013,https://letterboxd.com/film/insidious-chapter-2/
2017-10-24,Insidious,2010,https://letterboxd.com/film/insidious/
2017-10-25,V/H/S/2,2013,https://letterboxd.com/film/v-h-s-2/
2017-10-25,The Uninvited,1944,https://letterboxd.com/film/the-uninvited/
2017-10-25,The Hunger,1983,https://letterboxd.com/film/the-hunger/
2017-10-25,The House on Sorority Row,1983,https://letterboxd.com/film/the-house-on-sorority-row/
2017-10-29,Queen of Blood,1966,https://letterboxd.com/film/queen-of-blood/
2017-10-31,Chung Kuo: China,1972,https://letterboxd.com/film/chung-kuo-china/
2017-11-05,Rabid Grannies,1988,https://letterboxd.com/film/rabid-grannies/
2017-12-02,Wormwood,2017,https://letterboxd.com/film/wormwood/
2017-12-02,The Ballad of Lefty Brown,2017,https://letterboxd.com/film/the-ballad-of-lefty-brown/
2017-12-02,Dead Man's Burden,2012,https://letterboxd.com/film/dead-mans-burden/
2017-12-02,All the Money in the World,2017,https://letterboxd.com/film/all-the-money-in-the-world/
2017-12-02,Happy End,2017,https://letterboxd.com/film/happy-end-2017/
2017-12-12,Bloodletting,1997,https://letterboxd.com/film/bloodletting/
2017-12-12,Feeders,1996,https://letterboxd.com/film/feeders/
2017-12-12,Feeders 2: Slay Bells,1998,https://letterboxd.com/film/feeders-2-slay-bells/
2017-12-13,The Lodgers,2017,https://letterboxd.com/film/the-lodgers/
2017-12-19,Dr. Terror's House of Horrors,1965,https://letterboxd.com/film/dr-terrors-house-of-horrors/
2017-12-20,Lace Crater,2015,https://letterboxd.com/film/lace-crater/
2018-01-11,Ingrid Goes West,2017,https://letterboxd.com/film/ingrid-goes-west/
2018-01-11,Mansfield 66/67,2017,https://letterboxd.com/film/mansfield-66-67/
2018-01-13,The Hours,2002,https://letterboxd.com/film/the-hours/
2018-01-13,The Right Stuff,1983,https://letterboxd.com/film/the-right-stuff/
2018-01-13,Nixon,1995,https://letterboxd.com/film/nixon/
2018-01-13,Jacknife,1989,https://letterboxd.com/film/jacknife/
2018-01-13,Code Name: Emerald,1985,https://letterboxd.com/film/code-name-emerald/
2018-01-16,Donald Cried,2016,https://letterboxd.com/film/donald-cried/
2018-01-17,Napoleon Dynamite,2004,https://letterboxd.com/film/napoleon-dynamite/
2018-01-17,Unrest,2017,https://letterboxd.com/film/unrest-2017/
2018-01-26,The Foreigner,2017,https://letterboxd.com/film/the-foreigner-2017/
2018-01-30,The Vanishing of Sidney Hall,2017,https://letterboxd.com/film/the-vanishing-of-sidney-hall/
2018-02-02,Crossroads,1976,https://letterboxd.com/film/crossroads-1976/
2018-02-02,A Fantastic Woman,2017,https://letterboxd.com/film/a-fantastic-woman/
2018-02-07,Stage Struck,1925,https://letterboxd.com/film/stage-struck-1925/
2018-02-10,Space Cowboys,2000,https://letterboxd.com/film/space-cowboys/
2018-02-19,Lords of Chaos,2018,https://letterboxd.com/film/lords-of-chaos/
2018-02-19,The Cruise,1998,https://letterboxd.com/film/the-cruise/
2018-02-21,The Hero,1966,https://letterboxd.com/film/the-hero-1966/
2018-02-23,As I Was Moving Ahead Occasionally I Saw Brief Glimpses of Beauty,2000,https://letterboxd.com/film/as-i-was-moving-ahead-occasionally-i-saw-brief-glimpses-of-beauty/
2018-03-02,Shut In,2016,https://letterboxd.com/film/shut-in/
2018-03-03,Welcome to Me,2014,https://letterboxd.com/film/welcome-to-me/
